zip,total_pop,black,pct_black
ZCTA5 04284,1026,0,0
ZCTA5 04285,383,0,0
ZCTA5 04286,51,0,0
ZCTA5 04287,3342,34,0.010173549
ZCTA5 04289,2339,5,0.002137666
ZCTA5 04290,1386,0,0
ZCTA5 04292,1114,0,0
ZCTA5 04294,3963,0,0
ZCTA5 04330,25712,234,0.009100809
ZCTA5 04342,1673,0,0
ZCTA5 04343,0,0,#DIV/0!
ZCTA5 04344,2906,0,0
ZCTA5 04345,11421,106,0.009281149
ZCTA5 04346,1921,9,0.00468506
ZCTA5 04347,2445,11,0.004498978
ZCTA5 04348,3169,11,0.003471127
ZCTA5 04349,1080,3,0.002777778
ZCTA5 04350,3622,3,0.000828272
ZCTA5 04351,2539,0,0
ZCTA5 04352,1478,0,0
ZCTA5 04353,2389,9,0.003767267
ZCTA5 04354,1455,0,0
ZCTA5 04355,2556,10,0.003912363
ZCTA5 04357,3399,0,0
ZCTA5 04358,4156,71,0.017083734
ZCTA5 04359,330,0,0
ZCTA5 04360,468,0,0
ZCTA5 04363,2592,15,0.005787037
ZCTA5 04364,5915,290,0.049027895
ZCTA5 04401,44536,611,0.013719238
ZCTA5 04406,817,2,0.00244798
ZCTA5 04408,167,0,0
ZCTA5 04410,1154,0,0
ZCTA5 04411,1715,0,0
ZCTA5 04412,9090,60,0.00660066
ZCTA5 04413,195,0,0
ZCTA5 04414,1248,0,0
ZCTA5 04415,317,0,0
ZCTA5 04416,5541,59,0.010647897
ZCTA5 04417,361,0,0
ZCTA5 04418,1729,29,0.016772701
ZCTA5 04419,2799,0,0
ZCTA5 04421,1117,3,0.002685765
ZCTA5 04422,1514,13,0.008586526
ZCTA5 04424,857,0,0
ZCTA5 04426,4524,43,0.009504863
ZCTA5 04427,2803,6,0.002140564
ZCTA5 04428,3150,11,0.003492063
ZCTA5 04429,4762,4,0.000839983
ZCTA5 04430,1682,2,0.001189061
ZCTA5 04431,37,0,0
ZCTA5 04434,1051,7,0.006660324
ZCTA5 04435,1093,0,0
ZCTA5 04438,1045,0,0
ZCTA5 04441,1613,0,0
ZCTA5 04442,14,0,0
ZCTA5 04443,2195,0,0
ZCTA5 04444,8936,106,0.011862131
ZCTA5 04448,1436,0,0
ZCTA5 04449,1369,0,0
ZCTA5 04450,1231,3,0.002437043
ZCTA5 04451,226,0,0
ZCTA5 04453,749,0,0
ZCTA5 04454,24,0,0
ZCTA5 04455,736,7,0.00951087
ZCTA5 04456,2974,0,0
ZCTA5 04457,5734,38,0.006627136
ZCTA5 04459,903,8,0.008859358
ZCTA5 04460,1297,4,0.00308404
ZCTA5 04461,2991,0,0
ZCTA5 04462,4618,0,0
ZCTA5 04463,3196,26,0.008135169
ZCTA5 04464,505,11,0.021782178
ZCTA5 04468,9073,60,0.006613028
ZCTA5 04469,2591,114,0.043998456
ZCTA5 04471,623,2,0.003210273
ZCTA5 04472,2022,20,0.009891197
ZCTA5 04473,8185,155,0.01893708
ZCTA5 04474,3671,9,0.002451648
ZCTA5 04475,568,0,0
ZCTA5 04476,1225,0,0
ZCTA5 04478,384,0,0
ZCTA5 04479,1423,14,0.00983837
ZCTA5 04481,530,0,0
ZCTA5 04485,169,0,0
ZCTA5 04487,869,1,0.001150748
ZCTA5 04488,1559,5,0.003207184
ZCTA5 04489,266,0,0
ZCTA5 04490,268,0,0
ZCTA5 04491,144,8,0.055555556
ZCTA5 04492,123,0,0
ZCTA5 04493,1841,0,0
ZCTA5 04495,442,4,0.009049774
ZCTA5 04496,3931,12,0.003052658
ZCTA5 04497,304,0,0
ZCTA5 04530,10922,127,0.011627907
ZCTA5 04535,874,0,0
ZCTA5 04537,2042,2,0.000979432
ZCTA5 04538,1907,23,0.012060829
ZCTA5 04539,1124,0,0
ZCTA5 04541,43,0,0
ZCTA5 04543,2037,39,0.019145803
ZCTA5 04544,675,0,0
ZCTA5 04547,1118,0,0
ZCTA5 04548,954,0,0
ZCTA5 04551,788,0,0
ZCTA5 04553,1750,20,0.011428571
ZCTA5 04554,846,0,0
ZCTA5 04555,1713,17,0.00992411
ZCTA5 04556,1111,0,0
ZCTA5 04558,144,0,0
ZCTA5 04562,2101,0,0
ZCTA5 04563,1512,0,0
ZCTA5 04564,590,1,0.001694915
ZCTA5 04568,418,0,0
ZCTA5 04570,0,0,#DIV/0!
ZCTA5 04571,406,0,0
ZCTA5 04572,5009,0,0
ZCTA5 04573,491,0,0
ZCTA5 04574,1447,0,0
ZCTA5 04575,77,1,0.012987013
ZCTA5 04576,514,0,0
ZCTA5 04578,4357,6,0.001377094
ZCTA5 04579,3105,0,0
ZCTA5 04605,14137,155,0.010964137
ZCTA5 04606,1200,0,0
ZCTA5 04607,1150,4,0.003478261
ZCTA5 04609,5470,159,0.029067642
ZCTA5 04611,384,4,0.010416667
ZCTA5 04612,551,0,0
ZCTA5 04613,86,0,0
ZCTA5 04614,2660,0,0
ZCTA5 04616,684,0,0
ZCTA5 04617,826,6,0.007263923
ZCTA5 04619,2993,7,0.002338791
ZCTA5 04622,1033,0,0
ZCTA5 04623,870,0,0
ZCTA5 04624,167,0,0
ZCTA5 04625,66,0,0
ZCTA5 04626,508,0,0
ZCTA5 04627,1584,0,0
ZCTA5 04628,689,0,0
ZCTA5 04629,0,0,#DIV/0!
ZCTA5 04630,1412,4,0.002832861
ZCTA5 04631,1326,28,0.021116139
ZCTA5 04634,1803,11,0.006100943
ZCTA5 04635,13,0,0
ZCTA5 04637,161,0,0
ZCTA5 04640,2140,8,0.003738318
ZCTA5 04642,110,0,0
ZCTA5 04643,1031,0,0
ZCTA5 04644,0,0,#DIV/0!
ZCTA5 04645,20,0,0
ZCTA5 04646,68,0,0
ZCTA5 04648,745,0,0
ZCTA5 04649,1270,2,0.001574803
ZCTA5 04650,274,14,0.051094891
ZCTA5 04652,1648,20,0.012135922
ZCTA5 04653,565,0,0
ZCTA5 04654,3345,34,0.010164425
ZCTA5 04655,956,18,0.018828452
ZCTA5 04657,339,6,0.017699115
ZCTA5 04658,1560,103,0.066025641
ZCTA5 04660,1182,12,0.010152284
ZCTA5 04662,429,0,0
ZCTA5 04664,1317,0,0
ZCTA5 04666,1262,0,0
ZCTA5 04667,1391,0,0
ZCTA5 04668,1512,0,0
ZCTA5 04669,149,0,0
ZCTA5 04671,571,0,0
ZCTA5 04673,207,4,0.019323671
ZCTA5 04674,449,0,0
ZCTA5 04675,143,0,0
ZCTA5 04676,1074,0,0
ZCTA5 04677,246,0,0
ZCTA5 04679,1491,0,0
ZCTA5 04680,1227,7,0.005704971
ZCTA5 04681,1063,5,0.004703669
ZCTA5 04683,109,0,0
ZCTA5 04684,1712,4,0.002336449
ZCTA5 04685,449,1,0.002227171
ZCTA5 04686,135,0,0
ZCTA5 04691,307,0,0
ZCTA5 04693,403,0,0
ZCTA5 04694,2226,3,0.001347709
ZCTA5 04730,9720,134,0.013786008
ZCTA5 04732,1608,0,0
